conversation_id,company,conversation,summary
87ec474d85531392d2b2d10721e09e39,Ask_WellsFargo,"Customer: KTAR.com - Foreclosures still big problem in Valley: http://www.ktar.com/?nid=6&sid=1263891 via @41702
Customer: @41702 Wells Fargo customer care is customer crime! Disposing fragile elderly people like us due to Fake Modification
Support: I'm sorry you feel this way about us, Nadia. Pls send your phone # in a DM (no acct #). I'll connect you w/ a specialist. ^CC",
d3e05396cf9c037c671a5bd0c7afeab2,CarlsJr,"Customer: Do you know if Carl's Jr serves lunch all day? Or after 1030?
Support: We serve lunch all day!
Customer: @665443 Ok, it’s 9:55 AM and I’m heading there, now. Free wi-fi for those that still need to contact loved ones ..",
2e9690b9d2047163fef9f29560eb75eb,JetBlue,"Customer: I really need @VirginAmerica or @JetBlue to have a sale so I can book my airfare to LA. Hint, hint :)
Support: Check our best deals at http://bit.ly/jbdeals
and sign up for fare alerts: http://bit.ly/JBFareAlerts
Customer: @747941 How do you sign up.  It won’t let me link it
Support: Hey Tina! Sign up for what?",
df56fa2959c517d1e5b0f7dd55e7273c,AskPlayStation,Support: Welcome to @AskPlayStation. We're here to provide useful support to maximize your @117014 capabilities & experiences. Follow us!,
85616a77629e2b186287530190875d9f,Ask_Spectrum,"Customer: #Austin area customers... Services seem to be slowly returning. Techs still working to restore service. ^PS
Customer: Way to go, Spectrum. 

Not since AT&amp;T have we unejoyed ultra-worse internet service. 

https://t.co/yl5YiP0xAy
Support: If there is something specific I can assist you with please feel free to send me your phone or account number in ... https://t.co/8fSSUvFRDZ",
8f27d7669a0b25a4b422ccc6257c192b,idea_cares,"Customer: Email id of TRAI Public Grievance Cell 4any #MNP complaint __email__ __email__ __email__ #india http://bit.ly/dEJk7K
Customer: I have recently done mnp to jio but m facing issue with netwrk and internet into my area i wish to port back to my previous operator. 
SR00000EMJ7D is my complaint id.
Customer: Sincere apologies for the delay. We are working on this SR number: SR00000EMJ7D on priority. We will(1/2)
Customer: M not satisfied with the services of yours nd want to get back to my previous netwrk i.e Idea
Seek resolution @120602 @idea_cares @116590
Support: We would love to have you in Idea family. DM us your contact,pinocde details so we will get in touch with you. Rgds,Pradnya https://t.co/LBfZgLCSfr",
4e0e208c5082319d1a5833b02ac98a63,TfL,"Support: Lost property on TfL network reaches record numbers http://tinyurl.com/3k5p72g #lostpropertyoffice
Customer: Lost a Vivienne Westwood shopping bag today at 3pm in black cab. It was a birthday present please help!!!! #lostpropertyoffice
Customer: @TfL @TfL Lost a round black DJ headphone case containing headphones &amp;2 keys usb tonight at 4am in black cab. Please help!!!! #lostpropertyoffice
Support: Please log this with our Lost Property team here https://t.co/cj7tToKBfg
You'll be contacted if handed in. Hope it gets found.",
c2f53c1a1602652671754bcc3afcb737,AmericanAir,"Customer: Do you have a number to call you and check the flight status?
Support: Text ""FLYAA"" (35922) with your flight number to get instant flight info!
Customer: @28752 Status of today’s Flight #5164??
Support: We're showing AA5164 from Charlotte to Birmingham is on time this afternoon. Please sign up for any updates: https://t.co/h88H9iXqqT.",
c507905e09cc95a492aa7bf52ea2d532,Safaricom_Care,"Customer: Please find assistance from the official Safaricom customer care twitter account @Safaricom_Care
Customer: @Safaricom_Care hi,my name is Anthony mungai 0705254974,my Mpesa is not working please help.
Support: Hi Anthony, our apologies for the delayed response. Kindly clarify on the challenge for assistance. ^AO",
01386bd6d8e091c2ab4c7c7de644d37b,,"Customer: Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :)",
288d4df07c370b5764d6688d82796296,AmazonHelp,"Customer: Si quieres cambiar cualquier detalle de tu pedido, puedes hacerlo desde ""Mi cuenta"" y ya entrar en pedidos, pagos, etc.
Customer: Como se puede solicitar que no me haga entregas, tourline simpre que me envian algo con ellos tengo problemas, no llega a tiempo y mienten diciendo que no habia nadie en el domicilio, cuando es mentira.
Support: Hola Pendri, puedes comunicarte con nuestros compañeros de Servicio al Cliente para que ellos puedan levantar una reclamación a tu nombre con respecto a lo sucedido. Para hacerlo sigue el enlace a continuación: https://t.co/OjvUxwnzPe. ^RC",
d1c4e295fa7729efedc029e3713083ea,Ask_WellsFargo,"Customer: Catch #WellsFargo 's CFO, Tim Sloan, on @121927 at 3:15 pm ET as he discusses financial results with @822888 on @456692.
Customer: @121927 @822888 @456692 Srs. Wells Fargo
I have 39 month waitting for an answer for my checking account fraud an way 2 save reported the same day the email notice  of insufficient funds, I immediately contact the security department, to formulate the claim  and no one has deigned to contact me.
Support: Ani, I'm sorry for the experience. Please allow me to look into this for you in more detail. Send us a DM with your full name, phone number, and address. For security reasons, do not share any account or claim numbers in your message. Thanks. ^CS https://t.co/q1oBDuYAdh",
fca04ff14c60e4d1c8ccc580900272fd,AmazonHelp,"Customer: Para nuestro servicio de atención al cliente: http://t.co/K9zglZw4 Y haced clic en ""Contacto"", a la derecha de la pantalla
Customer: Si un pedido tiene entrega garantizada para una fecha y justo cuando llega el día te avisan de que se retrasa como se reclama
Customer: Al final no te dan solución
Support: Hola, lamentamos esto. Puedes contactar a nuestro SAC para que se verifique lo ocurrido: https://t.co/OjvUxwnzPe ^AV
Support: Hola Alfredo, sin compartir información sensible de tu cuenta como números de pedido, puedes indicarnos ¿cómo podemos ayudarte? ^MZ
Customer: Tengo abiertas reclamaciones y no me dais respuesta.
Support: ¿Podrías comentarnos más sobre lo que ha ocurrido sin publicar detalles de tu cuenta? ^DA",
7d5ba8072b393f18b4e3d595da223a54,sprintcare,"Customer: I can not make any calls whats the problem #sprint #4G @115714 please let me out of my contact
Support: what's your zip code?
Customer: 00693
Support: Hello! Please, follow us and DM us so that we can further assist you if any concerns. -IG https://t.co/rMApsV8PQY
Support: Aixa Alvarez - Hello! Please, follow us and DM us so that we can further assist you if any concerns.
 https://t.co/t98FVGqxwu… -IG https://t.co/rMApsV8PQY",
734d18dc4c36c514678bc0daeeca7c3a,Ask_Spectrum,"Customer: Dallas area outage has been resolved. Customers should now see restored service. We apologize for the inconvenience. ^PS
Customer: Outage in 75035
Support: I can look into this further. Please follow/DM your account number as well as the full service address associated with the account. ^SS",
69859492cb58a993fa0c5fe9b8248381,VirginTrains,"Customer: booking virgin train tickets = nightmare, wont let me empty the basket and start again. Have to wait 2 hrs for basket to reset?! WTF
Support: There is a remove button at the bottom of the journey. Click that and your basket will empty. ^SB
Customer: @702362 You need to please sort this out Virgin Trains.  I've just wasted 20 minutes trying to work this out. Had the same problem before too.
Support: @702362 Click in the basket, top right, scroll to the bottom and click X. it will remove them. ^PA
Customer: @702362 Thanks. Incredibly non-intuitive. I'm clearly far from alone in struggling (for ages) to find it.
Support: @702362 I will get this fed back for you. ^PA
Customer: @702361 @702362 Same problem. V fustrating.",
84ce341500b95857db47c98be72ee19c,British_Airways,"Customer: giving me a hard time:( New UK Law on upgrading flights booked by agents, harsher than before CC: @232745 @244996
Customer: the implication would be that the British Government is trying to put agents out of business. Really? @244996 @244997
Support: Hi you would need to speak with our trade supprt team on 0906 706 0010.
Customer: @232745 Is there an alternative number to call aside from 0906 706 0010? We've been calling this number more than 10 times today and we are unable to get through.....",
e888c2c282744c577ca18a3cd123945b,DropboxSupport,"Customer: Get extra space for spreading the @118189 love with a tweet! Check out http://t.co/RMeYwfUL
Customer: Using my @118189 all the time
Customer: Dropbox is one of my favorite tools for studying ^w^
Support: 💙
Support: 📑💙",
e4e13e37c04f02a5b6010bc4b596ac18,ChaseSupport,"Customer: 866-582-7130 is a scam number that purports to be Chase Credit Card Fraud. Do not call. Do not give info to #thief 8665827130. @ChaseSupport
Customer: @ChaseSupport Just got another voice mail requesting I call the same #.  Surprised Chase hasn't taken action in the last 3-1/2 years #Sloppy
Support: We appreciate you bringing this to our attention. We suggest you forward the number to __email__ for review. ^CM",
c6cbffc64b287d060d68ae052a28b063,TwitterSupport,"Customer: Note: The Twitter account @95609 is *not* Julian Assange.
Customer: @95609 ⚠️ Help @TwitterSupport ⤴️⤴️
Support: Hi, thanks for getting in touch. Please send us a message and we'll get started working through this. https://t.co/eXwzpNPj8C",
