id,customer_message,context,true_intent,expected_decision,expected_handling_reason,reference_resolution
gold_001,"Ever since I updated my iPhone 7 to iOS 11.1, the phone has been lagging terribly and freezing on the lockscreen.",Customer: Updated to iOS 11.1 yesterday.,ios_software_update,AUTO_HANDLE,Standard post-update performance troubleshooting.,"Acknowledge iOS 11.1 lag, recommend forced restart, checking background app refresh, and DMing if persists."
gold_002,My iPad Air 2 won't download the latest software update. It says 'Unable to Check for Update' error.,Customer: Trying to update via Wi-Fi.,ios_software_update,AUTO_HANDLE,Common OTA update network/server error with standard troubleshooting.,"Advise checking Wi-Fi network connection, ensuring 2GB+ free storage, or updating through iTunes on computer."
gold_003,How do I downgrade back to iOS 10? The new iOS 11 update completely broke my favorite 32-bit apps.,Customer: Frustrated with iOS 11 compatibility.,ios_software_update,AUTO_HANDLE,Informative policy query regarding iOS version signing and 32-bit app support.,Politely explain that Apple stops signing older iOS versions for security and recommend checking App Store for 64-bit app updates.
gold_004,My iPhone 6s is stuck in a boot loop showing the white Apple logo after attempting an over-the-air update.,Customer: Device will not boot into springboard.,ios_software_update,AUTO_HANDLE,Standard recovery mode troubleshooting procedure.,Guide customer to put device into Recovery Mode and connect to iTunes to Update without erasing data.
gold_005,The iOS 11.2 update failed halfway through with error code 14. What does that mean?,Customer: Updating via Lightning cable on Mac.,ios_software_update,AUTO_HANDLE,Error code 14 indicates USB connection or storage issue during update.,"Advise testing a different Apple Lightning cable, different USB port, and checking computer storage."
gold_006,Why is the system storage taking up 35GB on my 64GB iPhone after updating to iOS 11?,Customer: Storage space depleted after update.,ios_software_update,AUTO_HANDLE,System cache indexing post-update.,"Explain that iOS indexes files after update, recommend backing up and syncing via iTunes to clear temporary cache."
gold_007,My keyboard is glitching and typing random letters since the latest iOS patch.,Customer: Keyboard typing lag.,ios_software_update,AUTO_HANDLE,Known keyboard dictionary cache glitch.,Advise resetting Keyboard Dictionary in Settings > General > Reset > Reset Keyboard Dictionary.
gold_008,Is iOS 11 compatible with iPhone 5c? I cannot see the update in my settings.,Customer: Inquiring on legacy device support.,ios_software_update,AUTO_HANDLE,Clear device hardware compatibility fact.,Inform customer that iPhone 5c supports up to iOS 10.3.3 as iOS 11 requires a 64-bit processor.
gold_009,My iPhone 6s battery drops from 40% straight to 1% and shuts down unexpectedly in cold weather.,Customer: Sudden shutdown issue.,battery_performance,AUTO_HANDLE,Classic voltage drop on degraded battery; standard diagnostic check.,Explain how aging batteries behave in temperature extremes and direct customer to check Battery Health or replacement program.
gold_010,My phone is getting extremely hot near the camera while charging and the battery percentage is stuck at 80%.,Customer: Overheating while fast charging.,battery_performance,AUTO_HANDLE,Optimized battery charging thermal protection feature.,Explain thermal charging pause (80% protection limit) and advise charging in a cooler room with official Apple adapter.
gold_011,How much does Apple charge for an out-of-warranty battery replacement for an iPhone 7?,Customer: Asking pricing for official battery replacement.,battery_performance,AUTO_HANDLE,Standard service pricing information request.,Provide official battery replacement service cost details and provide link to book Genius Bar appointment.
gold_012,My iPhone 8 battery health maximum capacity is at 74% and says service recommended. What should I do?,Customer: Battery degradation message in settings.,battery_performance,AUTO_HANDLE,Standard battery replacement recommendation.,Confirm that capacity under 80% warrants battery replacement and guide them to schedule service.
gold_013,I charged my phone overnight with an Apple charger and it will not turn on at all this morning.,Customer: Device black screen unresponsive.,battery_performance,AUTO_HANDLE,Forced restart troubleshooting for unresponsive power state.,Guide customer through forced hard restart button sequence for their specific iPhone model.
gold_014,YouTube app is consuming 60% of my battery in background even when closed.,Customer: Background app battery drain.,battery_performance,AUTO_HANDLE,Background App Refresh configuration.,Advise disabling Background App Refresh for YouTube in Settings > General > Background App Refresh and updating the app.
gold_015,My Apple ID was hacked and someone changed the trusted phone number and recovery email! Help me immediately!,Customer: Unauthorized account takeover.,apple_id_account_security,ESCALATE,Compromised account / security breach requires human specialist authentication.,Immediate escalation to account security team; advise user to visit iforgot.apple.com.
gold_016,I forgot my Apple ID password and my phone is locked. How can I reset it without access to my email?,Customer: Password recovery inquiry.,apple_id_account_security,AUTO_HANDLE,Standard automated self-serve password recovery flow.,Guide user to iforgot.apple.com to initiate Account Recovery with trusted device or phone number.
gold_017,I'm not receiving the two-factor authentication verification code SMS on my trusted number.,Customer: 2FA delivery issue.,apple_id_account_security,AUTO_HANDLE,Troubleshooting 2FA delivery options.,Advise clicking 'Didn't get a code?' to request a phone call or use verification code from another trusted Apple device.
gold_018,My Apple ID is disabled in the App Store and iTunes. I cannot download free apps or updates.,Customer: Account disabled error.,apple_id_account_security,ESCALATE,Disabled account status requires billing/security review by human agent.,Escalate to Apple billing/account support to review account flags.
gold_019,Someone from another state is trying to log into my iCloud account and I got a prompt on my screen.,Customer: Suspicious login attempt alert.,apple_id_account_security,ESCALATE,Security alert / potential unauthorized access attempt.,"Instruct customer to tap 'Do Not Allow', change Apple ID password immediately, and review trusted devices."
gold_020,How do I remove an old device from my Apple ID trusted devices list?,Customer: Managing Apple ID device list.,apple_id_account_security,AUTO_HANDLE,Standard self-serve account management procedure.,"Guide customer to Settings > [Your Name] > scroll down, select device, and tap 'Remove from Account'."
gold_021,There is an unauthorized fraudulent charge of $129.99 on my credit card from iTunes and I want my money refunded now or I will contact my bank and lawyer!,Customer: Disputing unauthorized large charge.,app_store_billing_subscriptions,ESCALATE,Threat of legal action / fraudulent charge keyword triggers mandatory escalation.,Escalate directly to senior billing specialist and provide reportaproblem.apple.com.
gold_022,How do I cancel my Apple Music monthly subscription on my iPhone before it renews tomorrow?,Customer: Subscription cancellation request.,app_store_billing_subscriptions,AUTO_HANDLE,Standard subscription cancellation workflow.,Direct customer to Settings > [Name] > Subscriptions > Apple Music > Cancel Subscription.
gold_023,My child accidentally made an in-app purchase of $19.99 in Roblox. How can I request a refund?,Customer: Accidental child in-app purchase.,app_store_billing_subscriptions,AUTO_HANDLE,Standard refund request self-serve portal.,Direct to reportaproblem.apple.com to submit refund request and explain Screen Time in-app purchase restrictions.
gold_024,Why was my debit card declined in the App Store when I have plenty of balance?,Customer: Payment method declined.,app_store_billing_subscriptions,AUTO_HANDLE,Common payment verification troubleshooting.,"Advise checking billing address matches bank records, contacting bank to allow international transactions, or updating card in Settings."
gold_025,I was charged twice for iCloud 50GB storage this month. Can you check my invoice?,Customer: Duplicate billing query.,app_store_billing_subscriptions,ESCALATE,Billing discrepancy needing private transaction lookup.,Escalate to billing support via DM to review purchase history.
gold_026,My iPhone keeps saying 'No SIM Card Installed' even though my SIM card is inserted properly.,Customer: Cellular SIM card detection error.,connectivity_network_bluetooth,AUTO_HANDLE,Standard hardware/carrier troubleshooting steps.,"Advise ejecting and reseating SIM tray, toggling Airplane Mode, restarting phone, and checking for Carrier Settings update."
gold_027,My AirPods keep disconnecting from my iPhone 8 every time a phone call connects.,Customer: Bluetooth audio dropping on calls.,connectivity_network_bluetooth,AUTO_HANDLE,AirPods pairing/reset procedure.,Guide user to Forget Device in Bluetooth settings and reset AirPods case by holding back button for 15 seconds.
gold_028,Wi-Fi toggle switch in Settings is completely greyed out and I cannot turn it on.,Customer: Greyed out Wi-Fi toggle.,connectivity_network_bluetooth,AUTO_HANDLE,"Reset Network Settings step, with hardware inspection fallback.","Advise performing Settings > General > Reset > Reset Network Settings; if unresolved, hardware repair is needed."
gold_029,Bluetooth cannot discover my Apple Watch series 3 during initial setup.,Customer: Watch pairing failure.,connectivity_network_bluetooth,AUTO_HANDLE,Apple Watch initial pairing troubleshooting.,"Advise keeping both devices near, ensuring Wi-Fi and Bluetooth are ON on iPhone, and restarting both devices."
gold_030,The lower half of my iPhone X OLED screen is not responding to touch and has green vertical lines.,Customer: Physical OLED display damage/failure.,device_hardware_display,AUTO_HANDLE,Display replacement service routing.,"Acknowledge hardware display issue, recommend backing up device, and provide link to schedule Genius Bar repair."
gold_031,My iPhone rear camera shows only a black screen and the flashlight icon is disabled.,Customer: Camera sensor unresponsive.,device_hardware_display,AUTO_HANDLE,Camera app test and hardware diagnostics advice.,"Advise closing camera app, testing in other apps like FaceTime, restarting phone, and booking appointment if persistent."
gold_032,The home button on my iPhone 7 stopped vibrating and giving haptic feedback completely.,Customer: Taptic engine / home button failure.,device_hardware_display,AUTO_HANDLE,Haptic feedback troubleshooting / service advice.,"Advise checking Settings > General > Home Button, performing a hard restart, and scheduling service if broken."
gold_033,My iCloud backup says 'The last backup could not be completed because there is not enough storage'.,Customer: iCloud backup capacity error.,data_sync_backup_icloud,AUTO_HANDLE,Managing iCloud backup sizes and storage allocation.,Guide customer to Settings > [Name] > iCloud > Manage Storage > Backups to disable large apps or upgrade storage.
gold_034,Photos taken on my iPhone are not showing up on my iPad even though iCloud Photos is turned on.,Customer: Photo sync delay across devices.,data_sync_backup_icloud,AUTO_HANDLE,iCloud Photo Library sync conditions.,"Ensure both devices are on the same Apple ID, connected to Wi-Fi, low power mode is disabled, and storage is available."
gold_035,How do I transfer all my photos and contacts from an old iPhone 6 to a new iPhone X?,Customer: Device data migration.,data_sync_backup_icloud,AUTO_HANDLE,Standard Quick Start / iCloud migration workflow.,Explain Quick Start feature by placing both iPhones next to each other or restoring from iCloud/iTunes backup.
gold_036,How do I use Screen Recording in Control Center on iOS 11?,Customer: Feature how-to inquiry.,general_inquiry_features,AUTO_HANDLE,Standard iOS feature walkthrough.,Guide customer to Settings > Control Center > Customize Controls > add Screen Recording.
gold_037,Can I please speak to a human supervisor right now? Your automated suggestions are useless.,Customer: Demanding human representative.,general_inquiry_features,ESCALATE,Explicit request for human representative / supervisor.,Immediately escalate to human support team and invite to direct message.
gold_038,Help it broke,Customer: Ambiguous 3-word message.,general_inquiry_features,ESCALATE,Ambiguous/insufficient context query requiring human probing.,Ask customer to clarify what device and symptom they are experiencing.
